exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct,ranking_crescimento,destaque
2026,2,2026B2,MA,Governo do Estado do Maranhão,21,16607644966.43,16.60764496643,14395686329.64,0.1536542674061805,15.365426740618048,1,Demais UFs
2026,2,2026B2,AP,Governo do Estado do Amapá,16,1746960865.2,1.7469608652000002,1533984210.79,0.13883888302886604,13.883888302886604,2,Demais UFs
2026,2,2026B2,PI,Governo do Estado do Piauí,22,8900032623.95,8.90003262395,7872615140.82,0.13050523425218352,13.050523425218351,3,Demais UFs
2026,2,2026B2,RN,Governo do Estado do Rio Grande do Norte,24,9848491155.72,9.84849115572,8736113212.66,0.12733098987865565,12.733098987865565,4,Demais UFs
2026,2,2026B2,MT,Governo do Estado do Mato Grosso,51,26920597419.58,26.92059741958,23994469004.71,0.12195012168411057,12.195012168411058,5,Demais UFs
2026,2,2026B2,RJ,Governo do Estado do Rio de Janeiro,33,66412554632.14,66.41255463214,59693878892.69,0.11255217225082603,11.255217225082603,6,Demais UFs
2026,2,2026B2,ES,Governo do Estado do Espírito Santo,32,23524854986.09,23.52485498609,21262781485.75,0.10638652811514837,10.638652811514838,7,Demais UFs
2026,2,2026B2,RO,Governo do Estado de Rondônia,11,8380692378.7,8.3806923787,7618440724.27,0.10005349939938513,10.005349939938512,8,Demais UFs
2026,2,2026B2,PB,Governo do Estado da Paraíba,25,10883534377.1,10.8835343771,10025371813.5,0.08559907598084426,8.559907598084425,9,Demais UFs
2026,2,2026B2,DF,Governo do Distrito Federal,53,13041698731.06,13.04169873106,12089537752.4,0.07875908890486549,7.875908890486549,10,Demais UFs
2026,2,2026B2,AC,Governo do Estado do Acre,12,2325476346.05,2.3254763460500003,2162889048.48,0.07517135365046146,7.517135365046146,11,Demais UFs
2026,2,2026B2,CE,Governo do Estado do Ceará,23,22093799281.61,22.09379928161,20634451166.83,0.0707238638421317,7.07238638421317,12,Demais UFs
2026,2,2026B2,TO,Governo do Estado do Tocantins,17,6495327985.2,6.495327985199999,6086185012.6,0.06722486611119538,6.722486611119538,13,Demais UFs
2026,2,2026B2,SC,Governo do Estado de Santa Catarina,42,46547554157.09,46.54755415709,43780966031.58,0.06319157333153425,6.3191573331534245,14,Demais UFs
2026,2,2026B2,GO,Governo do Estado de Goiás,52,31738255820.86,31.73825582086,29873985823.17,0.062404461484482976,6.240446148448298,15,Demais UFs
2026,2,2026B2,AL,Governo do Estado de Alagoas,27,9201962780.7,9.2019627807,8706092281.4,0.05695672447205702,5.695672447205702,16,Demais UFs
2026,2,2026B2,SE,Governo do Estado de Sergipe,28,6159968404.85,6.159968404850001,5830369156.38,0.05653145446362173,5.653145446362173,17,Demais UFs
2026,2,2026B2,AM,Governo do Estado do Amazonas,13,17383411398.84,17.38341139884,16488217085.72,0.05429297227626284,5.429297227626284,18,Demais UFs
2026,2,2026B2,PE,Governo do Estado de Pernambuco,26,28104142644.39,28.10414264439,26787642686.6,0.049145793573263985,4.9145793573263985,19,PE
2026,2,2026B2,MG,Governo do Estado de Minas Gerais,31,88600711571.47,88.60071157147,84489487990.77,0.048659586872500826,4.865958687250083,20,Demais UFs
2026,2,2026B2,SP,Governo do Estado de São Paulo,35,241308733358.5,241.3087333585,230171694290.44,0.048385789149237635,4.8385789149237635,21,Demais UFs
2026,2,2026B2,BA,Governo do Estado da Bahia,29,42208960242.23,42.208960242230006,40822022913.85,0.033975222915997305,3.3975222915997305,22,Demais UFs
2026,2,2026B2,PA,Governo do Estado do Pará,15,25596734904.06,25.59673490406,24775750741.41,0.0331366008327576,3.31366008327576,23,Demais UFs
2026,2,2026B2,RR,Governo do Estado de Roraima,14,2145181604.64,2.1451816046400003,2076552812.1,0.03304938460515072,3.3049384605150722,24,Demais UFs
2026,2,2026B2,MS,Governo do Estado do Mato Grosso do Sul,50,17691947392.34,17.69194739234,17245542519.78,0.02588523220118999,2.588523220118999,25,Demais UFs
2026,2,2026B2,RS,Governo do Estado do Rio Grande do Sul,43,53237103661.18,53.23710366118,52571284364.3,0.012665075714454854,1.2665075714454854,26,Demais UFs
2026,2,2026B2,PR,Governo do Estado do Paraná,41,54114864066.78,54.11486406678,53442621631.81,0.012578769799157286,1.2578769799157286,27,Demais UFs
